date,consumer_exit_flow_kwh,interconnection_exit_flow_kwh,storage_exit_flow_kwh,total_exit_flow_kwh,storage_twh,agsi_consumption_gwh,injection_gwh,withdrawal_gwh,storage_pct_full,temperature_2m_mean,temperature_2m_min,temperature_2m_max,hdd,demand_gwh,total_system_offtake_gwh,storage_exit_gwh,interconnection_exit_gwh,stl_trend,stl_seasonal,stl_resid
2025-04-28,438981963.73,952715361.749,872245666.81,2263942992.289,79.827,903.9,597.15,39.0,32.38,15.943749,8.6,22.75,2.0562506,438.98196373,2263.942992289,872.24566681,952.715361749,459.3732966951432,-92.55133948566029,72.16000652051713
2025-04-29,428711863.51,954590941.677,963092248.1,2346395053.287,80.4348,903.9,644.74,37.0,32.64,16.837502,9.5,22.6,1.1624985,428.71186351,2346.3950532870003,963.0922481,954.590941677,459.4380538948889,-89.77688678982187,59.05069640493292
2025-04-30,386622897.92,1024847604.021,1038104743.47,2449575245.4110003,81.2538,903.9,808.69,35.2,32.98,18.627085,9.5,25.9,0.0,386.62289792,2449.575245411,1038.1047434700001,1024.847604021,459.50327394476295,-97.83471140753814,24.954335382775184
2025-05-01,339026961.0,1241268467.24,1299977456.615,2880272884.855,82.291,903.9,1057.68,20.5,33.4,20.499998,13.55,27.5,0.0,339.026961,2880.272884855,1299.977456615,1241.26846724,459.5689561836058,-139.7060292400322,19.164034056426374
2025-05-02,334505173.74,1095516309.03,1365744452.914,2795765935.684,83.312,903.9,1041.05,20.0,33.81,15.039581,10.85,19.0,2.9604187,334.50517374000003,2795.765935684,1365.744452914,1095.51630903,459.6351000069942,-123.72162930095341,-1.4082969660407798
2025-05-03,321317456.19,893860756.39,1384128522.284,2599306734.864,84.3448,903.9,1069.49,23.0,34.23,11.414582,8.2,14.65,6.5854177,321.31745619,2599.3067348639997,1384.128522284,893.86075639,459.70170439505347,-117.34533513845618,-21.03891306659733
2025-05-04,334395985.12,823317331.8299999,1197886985.28,2355600302.2299995,85.2411,903.9,932.25,50.1,34.6,9.008332,4.1,13.25,8.991668,334.39598512,2355.6003022299997,1197.8869852799999,823.31733183,459.76876798783337,-57.38288752142648,-67.98989534640691
2025-05-05,396296870.98,992433468.52,642914794.41,2031645133.91,85.6328,903.9,482.48,91.2,34.75,9.349999,1.85,15.9,8.650001,396.29687098,2031.6451339100001,642.91479441,992.43346852,459.8362893355742,-31.982239640755825,-31.55717871481835
2025-05-06,412038277.04,959211378.43,476980098.29,1848229753.76,85.8938,903.9,351.27,89.6,34.73,11.243749,5.6,15.4,6.7562513,412.03827704,1848.22975376,476.98009829,959.21137843,459.90426729866147,-35.51560229813957,-12.350387960521857
2025-05-07,452236057.7,1043637193.68,572081545.821,2067954797.201,86.2159,903.9,433.39,116.4,34.86,11.485416,4.9,15.6,6.5145836,452.2360577,2067.954797201,572.081545821,1043.6371936799999,459.97270108641305,14.972344437067413,-22.70898782348047
2025-05-08,445392066.4,1088849748.67,566274568.337,2100516383.407,86.4176,903.9,347.13,134.8,35.07,13.335418,5.35,18.7,4.6645823,445.3920664,2100.516383407,566.274568337,1088.84974867,460.04158981960995,3.5438343916380575,-18.193357811248006
2025-05-09,403277665.64,1056225286.66,604158994.23,2063661946.53,86.7031,903.9,385.0,99.5,35.19,14.358334,9.8,17.7,3.6416664,403.27766564,2063.66194653,604.1589942300001,1056.22528666,460.1109325980908,-69.08402468048648,12.25075772239569
2025-05-10,330185319.40999997,1065053003.44,936053638.743,2331291961.593,87.4778,903.9,823.47,50.6,35.37,12.412499,6.1,18.05,5.5875006,330.18531941,2331.291961593,936.0536387430001,1065.05300344,460.1807288183878,-97.0379189077442,-32.957490500643644
2025-05-11,317551756.92,1061304802.82,951280274.887,2330136834.627,88.3242,903.9,896.54,53.7,35.71,12.466666,4.85,19.05,5.533334,317.55175692,2330.1368346269996,951.280274887,1061.30480282,460.2509777045421,-102.69038995837859,-40.00883082616349
2025-05-12,389528910.4,1023205937.55,907929120.288,2320663968.238,89.0393,903.9,743.58,47.0,36.01,14.535417,5.85,20.9,3.4645834,389.5289104,2320.663968238,907.929120288,1023.2059375499999,460.321678194911,-90.63979445658462,19.847026661673624
2025-05-13,411339507.96,1014596752.58,685731800.79,2111668061.33,89.4934,903.9,552.74,87.9,36.19,16.69375,11.15,22.1,1.3062496,411.33950796,2111.66806133,685.73180079,1014.59675258,460.3928294120845,-47.386391121904374,-1.6669303301801506
2025-05-14,366060624.58,1027994581.28,781671975.0,2175727180.8599997,90.1748,903.9,737.53,53.8,36.47,11.997917,8.85,14.55,6.002083,366.06062457999997,2175.72718086,781.671975,1027.99458128,460.46443069894707,-67.51513092255185,-26.88867519639524
2025-05-15,359373161.15,1100391076.06,687705741.46,2147469978.67,90.7017,903.9,606.27,66.1,36.68,11.981251,8.1,17.05,6.018749,359.37316115,2147.4699786700003,687.70574146,1100.39107606,460.5364818068319,-53.33400065388474,-47.829320002947156
2025-05-16,358094793.05,985702993.9,608993044.615,1952790831.565,91.1739,903.9,573.41,97.3,36.87,11.083335,8.2,16.3,6.916665,358.09479305,1952.790831565,608.993044615,985.7029939,460.6089825759841,-90.47868968900991,-12.035499836974168
2025-05-17,327153317.56,1129049822.1,964801492.588,2421004632.248,91.9836,903.9,802.5,2.1,37.2,10.404167,6.7,13.9,7.595833,327.15331756,2421.0046322480002,964.8014925880001,1129.0498220999998,460.6819325041843,-97.69424217253206,-35.83437277165223
2025-05-18,340878573.75,1168620940.22,792020468.382,2301519982.352,92.6586,903.9,690.89,14.5,37.47,12.479168,10.2,15.55,5.520832,340.87857375,2301.519982352,792.020468382,1168.62094022,460.75533064537854,-30.433103231408626,-89.44365366396994
2025-05-19,426729213.16,1191702439.81,614195615.315,2232627268.285,93.078,903.9,484.28,83.7,37.64,16.216665,9.3,22.6,1.7833347,426.72921316000003,2232.627268285,614.195615315,1191.70243981,460.8291757076091,-56.121701331323465,22.02173878371434
2025-05-20,410803915.12,1243225157.99,613010469.905,2267039543.0150003,93.5199,903.9,496.33,65.0,37.82,16.981253,12.85,21.35,1.0187473,410.80391512,2267.039543015,613.0104699049999,1243.22515799,460.903466476939,-80.31695963501483,30.217408278075823
2025-05-21,413475275.48,1157487199.61,172925211.771,1743887686.861,93.308,903.9,121.59,333.5,37.73,11.845833,8.55,15.5,6.154167,413.47527548,1743.887686861,172.925211771,1157.4871996099998,460.9782016361345,-49.769430330035675,2.2665041739011826
2025-05-22,428798640.61,1215121177.7,439117785.114,2083037603.424,93.6268,903.9,449.58,123.6,37.86,9.095833,4.95,11.95,8.904167,428.79864061,2083.037603424,439.117785114,1215.1211777,461.05337985686305,-41.15337188885818,8.898632641995164
2025-05-23,374808833.51,1198737823.16,311629053.51,1885175710.18,93.7907,903.9,320.06,160.8,37.93,11.872917,6.1,16.75,6.127083,374.80883351,1885.1757101800001,311.62905351,1198.73782316,461.12900008634335,-85.82497539398868,-0.49519118235468795
2025-05-24,313094141.32,1162117278.65,650081745.075,2125293165.045,94.2632,903.9,482.79,12.8,38.12,14.1125,11.25,16.75,3.8874998,313.09414132,2125.293165045,650.0817450750001,1162.1172786500001,461.2050614318844,-135.80734766024491,-12.303572451639468
2025-05-25,328937034.24,1190160763.73,954587921.83,2473685719.8,95.0725,903.9,834.33,2.4,38.45,15.395833,11.7,19.65,2.604167,328.93703424,2473.6857198000002,954.58792183,1190.16076373,461.28156332190645,-115.64862903046054,-16.695900051445904
2025-05-26,379386471.11,1141761298.57,685890969.005,2207038738.685,95.5799,903.9,532.11,47.3,38.65,15.779167,9.45,20.2,2.2208328,379.38647111,2207.0387386849998,685.890969005,1141.76129857,461.3585055575176,-76.01852194534274,-5.953512502174874
2025-05-27,362768563.98,1200845625.39,690377024.088,2253991213.458,96.0277,903.9,486.58,38.8,38.83,16.199999,13.55,18.6,1.8000011,362.76856398,2253.9912134580004,690.3770240880001,1200.8456253900001,461.43588821259715,-103.77087590312168,5.103551670524553
