feature,mean_abs_shap
resid_lag1,6.3863883
day_of_week,6.212585
temperature_2m_min,3.1180747
hdd_ma7,2.881799
temperature_2m_max,2.8739085
resid_lag7,2.8017683
day_of_year,2.2036695
storage_twh_lag1,2.043628
injection_gwh_lag1,1.6863751
withdrawal_gwh_lag1,1.6289716
temperature_2m_mean,1.4495875
resid_ma7,1.2197217
resid_ma30,1.202098
storage_pct_full_lag1,1.1047401
is_weekend,1.0361371
hdd_lag1,0.76073486
month,0.36747482
agsi_consumption_gwh_lag1,0.24337478
hdd,0.20459828
